Datetime, WindSpeed, WindGust_10min, WindSpeed_10min, WindSpeed_1min, WindDir_1min, WindDir_10min  
2023-07-20 13:48:06:544777,1.5,3.0,0.0,0.9,171,148
2023-07-20 13:48:07:083737,1.5,3.0,0.0,0.9,175,148
2023-07-20 13:48:07:176757,1.5,3.0,0.0,0.9,175,148
2023-07-20 13:48:07:241340,1.5,3.0,0.0,0.9,175,148
2023-07-20 13:48:08:506992,1.0,3.0,0.0,0.9,179,149
2023-07-20 13:48:08:571868,1.0,3.0,0.0,0.9,179,149
2023-07-20 13:48:08:670908,1.0,3.0,0.0,0.9,179,149
2023-07-20 13:48:09:120604,1.0,3.0,0.0,0.9,183,150
2023-07-20 13:48:09:237603,1.0,3.0,0.0,0.9,183,150
2023-07-20 13:48:09:337116,1.0,3.0,0.0,0.9,183,150
2023-07-20 13:48:10:402427,0.5,3.0,0.0,1.0,187,150
2023-07-20 13:48:10:465550,0.5,3.0,0.0,1.0,187,150
2023-07-20 13:48:10:545699,0.5,3.0,0.0,1.0,187,150
2023-07-20 13:48:11:094138,0.5,3.0,0.0,1.0,190,151
2023-07-20 13:48:11:163426,0.5,3.0,0.0,1.0,190,151
2023-07-20 13:48:11:227640,0.5,3.0,0.0,1.0,190,151
2023-07-20 13:48:12:403558,1.5,3.0,0.0,1.0,194,152
2023-07-20 13:48:12:479206,1.5,3.0,0.0,1.0,194,152
2023-07-20 13:48:12:577197,1.5,3.0,0.0,1.0,194,152
2023-07-20 13:48:13:102978,2.0,3.0,0.0,1.0,197,153
2023-07-20 13:48:13:183978,2.0,3.0,0.0,1.0,197,153
2023-07-20 13:48:13:272998,2.0,3.0,0.0,1.0,197,153
2023-07-20 13:48:14:441775,2.5,3.0,0.0,1.1,200,154
2023-07-20 13:48:14:510722,2.5,3.0,0.0,1.1,200,154
2023-07-20 13:48:14:609213,2.5,3.0,0.0,1.1,200,154
2023-07-20 13:48:15:110900,2.5,3.0,0.0,1.1,204,155
2023-07-20 13:48:15:179424,2.5,3.0,0.0,1.1,204,155
2023-07-20 13:48:15:245423,2.5,3.0,0.0,1.1,204,155
2023-07-20 13:48:16:398767,2.5,3.0,0.0,1.1,207,156
2023-07-20 13:48:16:463808,2.5,3.0,0.0,1.1,207,156
2023-07-20 13:48:16:536004,2.5,3.0,0.0,1.1,207,156
2023-07-20 13:48:17:088147,3.0,3.0,0.0,1.2,210,157
2023-07-20 13:48:17:153529,3.0,3.0,0.0,1.2,210,157
2023-07-20 13:48:17:218461,3.0,3.0,0.0,1.2,210,157
2023-07-20 13:48:18:403288,2.0,3.0,0.0,1.2,213,158
2023-07-20 13:48:18:523287,2.0,3.0,0.0,1.2,213,158
2023-07-20 13:48:18:587308,2.0,3.0,0.0,1.2,213,158
2023-07-20 13:48:19:097934,2.5,3.0,0.0,1.3,215,159
2023-07-20 13:48:19:163469,2.5,3.0,0.0,1.3,215,159
2023-07-20 13:48:19:227763,2.5,3.0,0.0,1.3,215,159
2023-07-20 13:48:20:401832,3.0,3.0,0.0,1.3,218,160
2023-07-20 13:48:20:466833,3.0,3.0,0.0,1.3,218,160
2023-07-20 13:48:20:531834,3.0,3.0,0.0,1.3,218,160
2023-07-20 13:48:21:100211,3.5,3.5,0.0,1.4,221,162
2023-07-20 13:48:21:169212,3.5,3.5,0.0,1.4,221,162
2023-07-20 13:48:21:241211,3.5,3.5,0.0,1.4,221,162
2023-07-20 13:48:22:433380,3.0,3.5,0.0,1.4,223,163
2023-07-20 13:48:22:513385,3.0,3.5,0.0,1.4,223,163
