Datetime, WindSpeed, WindGust_10min, WindSpeed_10min, WindSpeed_1min, WindDir_1min, WindDir_10min  
2023-07-18 16:01:56:294016,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:56:640016,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:56:985263,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:57:328263,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:57:671212,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:58:015332,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:58:358454,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:58:701650,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:59:050024,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:59:393149,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:01:59:737150,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:00:080400,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:00:423416,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:00:769376,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:01:148544,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:01:491544,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:01:834671,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:02:178671,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:02:520929,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:02:863929,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:03:206929,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:03:549878,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:03:903475,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:04:254141,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:04:599193,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:04:942141,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:05:285445,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:05:645055,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:05:991607,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:06:334956,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:06:681081,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:07:037133,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:07:385134,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:07:733108,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:08:080156,0.0,2.5,0.0,0.2,185,185
2023-07-18 16:02:08:429155,0.0,2.5,0.0,0.2,185,185
